id,name,url,interval_minutes,min_payout,max_payout,has_ref_program,ref_payout_percent,comments,is_paused,created_at,updated_at,slug,meta_title,meta_description,meta_keywords,has_low_balance
1,BitVisits,http://www.bitvisits.com/?i=478,1,200,1000,1,50,,0,"2015-08-18 12:38:42","2016-02-03 23:00:05",bitvisits,"BitVisits - Welcome, earn free bitcoin by viewing websites. Click.Visi","With BitVisits you can earn free bitcoin daily by viewing our advertisers websites. Bitcoin advertising directly to bitcoin users. Start clicking and earning fr","bitcoin, surf, surfing, ptc, pts, earn, free bitcoins, free, bitpay, microwallet, faucetbox",0
2,"Moon Bitcoin",http://moonbit.co.in?ref=08d76823021c,0,50,3000,1,50,"Max payout based on 168 hours of accumulation.",0,"2015-08-18 12:38:44","2017-01-23 18:00:04",moon-bitcoin,"Moon Bitcoin - Free Bitcoin Faucet","Moon Bitcoin is a bitcoin faucet with a difference...YOU decide how often to claim! Instant and weekly payment options. 50% referral commission.","bitcoin, free bitcoin, faucet, bitcoin faucet, win bitcoin, get free bitcoins, win free bitcoins, mining, xapo, satoshi",0
11,"Alien Faucet",http://bitcoinaliens.com/faucet/?ref=4935,5,100,10000,1,25,,0,"2015-08-18 12:39:10","2016-09-20 08:00:10",alien-faucet,"Alien Faucet",,,0
22,Bitcoinker,http://bitcoinker.com/faucet?ref=6749123ce00c,15,100,1000,1,25,,0,"2015-08-18 12:39:59","2016-12-14 05:00:10",bitcoinker,"Bitcoinker - Faucet","Bitcoinker is a free bitcoin faucet where you can earn satoshi every 15 minutes. Instant Faucetbox and Xapo payouts. 25% referral commission.","bitcoin, free bitcoin, faucet, bitcoin faucet, win bitcoin, get free bitcoins, win free bitcoins",0
26,"BTC 4 You",http://btc4you.com/?ref=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,30,50,50,1,25,,0,"2015-08-18 12:40:22","2015-12-13 04:03:15",btc-4-you,"Free Bitcoin Faucet ",,,0
27,CrocoCoin,http://crococoin.com/?Referrer=8429,30,100,1000000,1,10,,0,"2015-08-18 12:40:24","2016-11-22 20:00:16",crococoin,,,,0
31,777Bitco.in,http://777bitco.in/?Referrer=113358,60,791,79067367,1,50,,0,"2015-08-18 12:40:37","2017-01-25 16:01:04",777bitco-in,"777bitco.in  - free bitcoin faucet. Get free bitcoins",,,0
33,"Best Bitcoin Faucet",http://best-bitcoin-faucet.eu/?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,100,1,50,,0,"2015-08-18 12:40:42","2015-08-18 12:40:42",best-bitcoin-faucet,"Best-Bitcoin-Faucet.eu | Best free bitcoin faucet","Best bitcoin faucet online with highest instant rewards! Get 1 full Bitcoin free in Bitcoin Cloud Lottery!","bitcoin faucet, bitcoin faucet list, free bitcoin, get free bitcoins",0
34,"Bitcoin Free Faucet",http://bitcoin-free-faucet.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,50,1,50,,0,"2015-08-18 12:40:44","2015-12-09 11:00:31",bitcoin-free-faucet,"Bitcoin-free-faucet.eu | Best free bitcoin faucet","Best bitcoin faucet online with highest instant rewards! Get 1 full Bitcoin free in our Lottery! Win Free Bitcoins instantly.","bitcoin faucet, bitcoin faucet list, free bitcoin, get free bitcoins, best free bitcoin",0
35,"Bitcoin Showers",http://bitcoinshowers.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,1000,1,35,,0,"2015-08-18 12:40:47","2016-12-02 18:00:29",bitcoin-showers,"Bitcoin Showers",,,0
42,DataFaucet,http://datafaucet.info/faucet,60,100,1000,0,0,,0,"2015-08-18 12:41:05","2016-11-18 10:00:18",datafaucet,"Home - Datafaucet","Datafaucet Absoutely free Bitcoins","datafaucet, faucet, free, bitcoins, satoshis, instant, payment, coinbase",0
44,"Free Bitcoin Faucet",http://free-bitcoin-faucet.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,300,1,50,,0,"2015-08-18 12:41:10","2015-12-09 11:00:34",free-bitcoin-faucet,"Free-Bitcoin-Faucet.eu | Best free bitcoin faucet","Best bitcoin faucet online with highest instant rewards! Get 1 full Bitcoin free in our Lottery! Win Free Bitcoins instantly.","bitcoin faucet, bitcoin faucet list, free bitcoin, get free bitcoins, best free bitcoin",0
