faucet_id,payment_processor_id
1,5
2,2
2,3
11,6
22,3
26,33
27,12
31,19
33,23
34,23
42,35
44,23
48,23
58,18
63,26
65,23
68,31
73,3
95,3
110,51
124,3
130,53
131,54
135,55
143,62
154,61
162,31
163,62
164,62
165,62
166,62
167,62
168,62
169,62
170,31
171,31
172,31
172,62
172,64
172,65
173,65
174,65
175,65
176,65
177,65
178,31
179,31
180,31
181,62
181,3
183,3
184,62
185,67
186,68
189,62
190,31
191,69
194,70
195,3
196,71
196,3
197,31
198,31
199,31
200,31
201,31
202,62
203,3
204,72
205,62
206,62
207,62
208,31
209,31
210,62
