name,url,interval_minutes,min_payout,max_payout,has_ref_program,ref_payout_percent,comments,is_paused
VisitBit,http://visitbit.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,1,50,200,1,5,,0
BitVisits,http://www.bitvisits.com/?i=478,1,200,1000,1,50,,0
Moon Bitcoin,http://moonbit.co.in?ref=08d76823021c,5,50,3000,1,50,Max payout based on 168 hours of accumulation.,0
BattleBitco.in,http://battlebit.co.in/?ref=3796,5,5,10000,1,20,,0
Alien Faucet,http://bitcoinaliens.com/faucet/?ref=4935,5,100,10000,1,25,,0
GoldsDay.com,http://goldsday.com/play?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,10,100,1000,1,25,Ref payout percent is for 100 or less referrals. Max percentage is 75% for between 2001 and 5000 referrals.,0
StarsBit,http://starsbit.com/play?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,10,99,999,1,25,Ref payout percent is for 100 or less referrals. Max percentage is 75% for between 2001 and 5000 referrals.,0
TopBitcoin,http://topbitco.in/?id=4335,15,101,1000000,1,10,,0
GreenBitcoin,http://greenbitco.in/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,15,150,200000,1,50,,0
Bitcoinker,http://bitcoinker.com/faucet?ref=6749123ce00c,15,100,1000,1,25,,0
BitDesire,http://coin.bitdesire.com/?id=187029,30,100,1000000,1,20,,0
Fairy Faucet,http://fairyfaucet.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,30,200,200,1,20,,0
BTC Australian,http://btc-australian.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,30,100,300,1,20,,0
Shinobi Faucet,http://shinobifaucet.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,30,100,300,1,30,,0
CrocoCoin,http://crococoin.com/?Referrer=8429,30,100,1000000,1,10,,0
Pink Tussy,http://pinktussy.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,30,375,2500,1,25,,0
BitCats,http://bitcats.net/index.php,30,30,30,0,0,,0
Can Has Bitcoin,http://canhasbitcoin.com/index.php,30,30,30,0,0,,0
PayFaucet,http://payfaucet.com/,30,50,500,0,0,,0
Route 66 Faucet,http://route66traffic.com/faucetsplash.php,30,50,50,0,0,,0
TheBitcoin.me,http://thebitcoin.me/index.php,30,30,30,0,0,,0
WorldFaucet,http://www.worldfaucet.com/,30,50,150,0,0,,0
DarCoins.com,http://darcoins.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,55,150,100000,0,0,,0
Mario Faucet,http://mariofaucet.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,3000,1,30,,0
Bitcoin Monkey,http://bitcoinmonkey.org/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,253,10000000,1,20,,0
BTC Field,http://www.btcfield.com/?ref=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,200,1,30,,0
We Love Bitcoins,http://welovebtc.com/?id=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,300,700,1,30,,0
Jackpot Faucet,http://www.jackpotfaucet.com?affid=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,250,250,1,100,,0
FreeeBitco.in,http://freebetco.in/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,401,1201,0,0,,0
CoinMachine,http://www.coin-machine.eu/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,300,1000,1,25,,0
TreeBitcoin,http://treebitcoin.com/?Referrer=6176,60,200,10000,1,10,"Min. ref percentage is 10%, max percentage is 50%.",0
Happy Putin PeaceCoins,http://happyputin.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,375,10000,1,20,,0
777Bitco.in,http://777bitco.in/?Referrer=113358,60,791,79067367,1,50,,0
BTCBro.com,http://www.btcbro.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,20,250,1,50,,0
CoinRacket,http://www.coinracket.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,500,1000,1,10,,0
BitFrame.co.in,http://www.bitframe.co.in/faucet/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,250,5000,1,10,,0
BTCFaucetList,http://www.btcfaucetlist.net/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,500,10000,1,25,,0
Cracklaw Microfaucet,http://www.cracklaw.ru/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,200,1,50,,0
Kurai Bitcoins,http://bitcoins.kurai.nl/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,200,0,0,,0
BitPrepay,http://bitprepay.net/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,200,10000,0,0,,0
Pulp Faucet,http://pulpfaucet.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,10000,1,20,,0
Crypto Drips,http://www.cryptodrips.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,225,525,1,20,,0
CoinCollectors,http://bitcoins.coincollectors.info/?id=657,60,100,1999,1,25,,0
Flying Faucet,http://www.flyingfaucet.com/?ref=1738,60,75,10000,1,20,,0
Super BTC Faucet,http://www.superbtcfaucet.com/?ref=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,5000,1,25,,0
Crypto Planet Faucet,http://www.cryptoplanet.co/BTCfaucet.php,60,150,10000,0,0,,0
BitcoinFlood,http://bitcoinflood.com/faucet/,60,10,30,0,0,,0
Kav8.com Free Bitcoin,http://kav8.com/,60,15,75,0,0,,0
DataFaucet,http://datafaucet.info/faucet,60,100,1000,0,0,,0
The Faucet of Galatorg,http://faucet.galat.org/,60,10,50,0,0,,0
Bitcoin Zebra,http://faucet.bitcoinzebra.com/?ref=8b8280fde7dd,60,100,1000,1,50,,0
Fibonacci Faucet,http://www.bongbitcoin.com/bongfaucet/,60,1,144,0,0,,0
Super Faucet,http://superfaucet.com/,60,30,30,0,0,,0
HotSwap.co,http://hotswap.co/,60,50,250,0,0,,0
PlayBitcoinGame Faucet,http://faucet.playbitcoingame.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,1000,1,10,,0
GetFreeBitcoin,http://get-free-bitcoin.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,300,1,50,,0
Best Bitcoin Faucet,http://best-bitcoin-faucet.eu/?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,100,1,50,,0
Bitcoin Free Faucet,http://bitcoin-free-faucet.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,50,1,50,,0
Win Free Bitcoins,http://win-free-bitcoins.eu/?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,40,40,1,50,,0
Get Bitcoin Free,http://get-bitcoin-free.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,30,600,1,50,,0
Free Bitcoin Faucet,http://free-bitcoin-faucet.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,50,300,1,50,,0
Qoin Faucet,http://qoinfaucet.com/,60,250,750,1,25,,0
Bitcoin Showers,http://bitcoinshowers.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,60,100,1000,1,35,,0
Dance Faucet,http://dancefaucet.cf//?reff=4,60,500,100000,0,0,,0
Weekend Bitcoin,http://weekendbitcoin.com/?ref=19832,60,1000,10000,1,25,,0
BigCoin,http://big-coin.eu/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,120,400,1500,1,25,,0
Miikman's Bitcoin Faucet,http://crypto.miikman.com/faucet/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,120,50,1000,1,10,,0
GetBitco,http://www.getbitco.com/,120,50,150,0,0,,0
Running Faucet,http://www.therunningfaucet.com/?ref=6036,120,80,10000,1,20,,0
RabbitCoin,http://www.rabbitcoin.biz/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,120,50,50,1,10,,0
Click Free Bitcoins,http://yourclicks.info/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,180,70,1000,1,10,,0
Pizza Faucet,http://www.pizzafaucet.com/?ref=37236,180,75,10000,1,20,,0
MyFreeBitcoins.org,http://myfreebitcoins.org/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,180,80,2222,1,20,,0
Best BTC Faucet,http://www.bestbtcfaucet.com/?ref=23231,180,30,3000,1,20,,0
Bitcoin Faucet TK,http://bitcoinfaucet.tk/?ref=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,180,67,67,1,10,,0
BitcoinFaucet.eu,http://bitcoin-faucet.eu/index.php?w=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,240,85,50000,1,50,,0
PhukIt Faucet,http://faucet.phuk-it.com/,240,50,1000,0,0,,0
FreCoins4Me,http://freecoins4.me/ref/13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,360,100,1000,1,5,,0
The Bitcoin Sheep Faucet,http://www.thebitcoinsheep.com/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,360,1000,10000,1,10,,0
Bitcoin Bissnes,http://bitcoin.01g.info/?r=13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ,360,1,200,1,20,,0
